Region,Address,UnitNo,PostalCode,Lat,Long,,,
Central,"QUEENSWAY SHOPPING CENTRE1 QUEENSWAY",,149053,1.287777,103.803474,,,
Central,"RAEBURN PARK10 RAEBURN PARK",,088702,1.273548,103.833406,,,
Central,"RAFFLES CITY SHOPPING CENTRE - STATION 1252 NORTH BRIDGE ROAD #B1-00",#B1-00,179103,1.2941178,103.8528128,,,
Central,"RAFFLES CITY SHOPPING CENTRE - STATION 2252 NORTH BRIDGE ROAD #B1-00",#B1-00,179103,1.2941178,103.8528128,,,
Central,"RAFFLES JUNIOR COLLEGE10 BISHAN STREET 21",,574013,1.346326,103.842422,,,
Central,"RAFFLES PLACE MRT STATION5 RAFFLES PLACE",,048618,1.284496,103.851421,,,
Central,"REDHILL MRT STATION920 TIONG BAHRU ROAD",,158792,1.289719,103.816485,,,
Central,"RELC30 ORANGE GROVE ROAD",,258352,1.312934,103.826019,,,
Central,"REPUBLIC PLAZA9 RAFFLES PLACE",,048619,1.2832428,103.8508359,,,
Central,"RHB BANK BUILDING90 CECIL STREET",,069531,1.2814495,103.849177,,,
Central,"RHB JALAN BESAR10 JALAN BESAR SIM LIM TOWER",,208787,1.304039,103.8546719,,,
Central,"ROBINSONS @ HEEREN260 ORCHARD ROAD BASEMENT 1",,238855,1.3029619,103.8371889,,,
Central,"S11 ANG MO KIO BLOCK 450450 ANG MO KIO AVENUE 10",,560450,1.368487,103.855409,,,
Central,"S11 ANG MO KIO BLOCK 711711 ANG MO KIO AVENUE 8",,560711,1.371438,103.847915,,,
Central,"SAFRA TOA PAYOH293 LORONG 6 TOA PAYOH",,319387,1.329911,103.854256,,,
Central,"SELETAR CAMP246 PICCADILLY",,797770,1.409565,103.871118,,,
Central,"SHAW PLAZA360 BALESTIER ROAD",,329783,1.324989,103.85119,,,
Central,"SHAW TOWER100 BEACH ROAD",,189702,1.2964962,103.8565696,,,
Central,"SIM LIM TOWER10 JALAN BESAR",,208787,1.304039,103.8546719,,,
Central,"SIMS DRIVE HDB BRANCH OFFICE - STATION 161 SIMS DRIVE",,380061,1.316634,103.878559,,,
Central,"SIMS DRIVE HDB BRANCH OFFICE - STATION 261 SIMS DRIVE",,380061,1.316634,103.878559,,,
Central,,,259569,1.3107198,103.8150752,,,
Central,,,039803,1.289069,103.862943,,,
Central,,,169608,1.281059,103.838668,,,
Central,,,169608,1.2810909,103.8388315,,,
